year,Year Over Year,3-Year Average,5-Year Average,10-Year Average,Year Over Year,3-Year Average,5-Year Average,10-Year Average,Year Over Year,3-Year Average,5-Year Average,10-Year Average,Year Over Year,3-Year Average,5-Year Average,10-Year Average
2016,-0.0209,-0.048799999999999996,-0.0268,0.0084,1.0564,0.011200000000000002,0.0632,0.0467,1.1381999999999999,0.0037,0.0636,0.0375,1.1625,0.027000000000000003,0.08470000000000001,0.06309999999999999
2017,0.0031,-0.0254,-0.0282,0.0,-0.0054,0.09380000000000001,0.042,0.0235,0.051699999999999996,0.1429,0.0542,0.0225,0.0684,0.16570000000000001,0.0768,0.0458
2018,0.0124,-0.0019,-0.026600000000000002,-0.0049,-0.3243,0.11380000000000001,-0.0702,-0.0132,-0.381,0.1165,-0.0802,-0.018000000000000002,-0.3703,0.1331,-0.0613,-0.0002
2019,-0.0019,0.0045000000000000005,-0.013300000000000001,-0.0034999999999999996,0.3419,-0.0339,0.0348,0.005699999999999999,0.5297999999999999,-0.0014000000000000002,0.0717,0.013600000000000001,0.5484,0.0137,0.0908,0.032799999999999996
2020,0.0374,0.0158,0.0058,-0.0031,0.08460000000000001,-0.005600000000000001,0.15,0.0158,0.0904,0.010700000000000001,0.18350000000000002,0.024700000000000003,0.10099999999999999,0.0239,0.19920000000000002,0.0444
2021,0.015700000000000002,0.0169,0.0132,-0.006999999999999999,-0.21050000000000002,0.047400000000000005,-0.0504,0.0048,-0.22870000000000001,0.0876,-0.0348,0.0132,-0.2213,0.099,-0.0223,0.0298
2022,0.0378,0.0302,0.0202,-0.0043,0.046900000000000004,-0.0358,-0.0406,-0.0002,0.0662,-0.035699999999999996,-0.0322,0.01,0.0692,-0.0286,-0.0222,0.026099999999999998
2023,0.0127,0.022000000000000002,0.0202,-0.0034999999999999996,0.1197,-0.0255,0.061399999999999996,-0.0066,-0.08789999999999999,-0.09140000000000001,0.0458,-0.0192,-0.0892,-0.08810000000000001,0.0527,-0.0059
2024,-0.0183,0.0105,0.0169,0.0017000000000000001,0.1016,0.08900000000000001,0.0203,0.0275,0.44270000000000004,0.1195,0.0336,0.0525,0.44909999999999994,0.1217,0.0388,0.0645
2025,-0.18,-0.0658,-0.029900000000000003,-0.012199999999999999,-0.2891,-0.042800000000000005,-0.062400000000000004,0.0384,-0.2059,0.0148,-0.029900000000000003,0.07150000000000001,-0.196,0.02,-0.0245,0.0816
